attribute,score,price
acetic acid,86.22222222222223,62.111111111111114
alcohol,87.53771946748986,36.28157267672756
almond,87.98613569321535,30.77672382342211
apple,87.37249552391508,24.012684796495712
apricot,88.15314632297195,31.52069839481836
artichoke,86.66666666666667,23.058823529411764
asparagus,84.8865671641791,23.02492211838006
bacon,89.02035048049746,37.88908659549229
baker's yeast,89.5,47.54661016949152
banana,86.2937660119556,19.2455035971223
bell,86.02808988764045,23.37007874015748
black currant,88.986832986833,43.362877911779286
black pepper,88.2426081200353,33.466157584172166
blackberry,88.53733360362186,40.44669903616204
burned,86.06451612903226,29.620689655172413
burnt match,87.41201716738198,28.013910355486864
burnt toast,88.34309062080742,38.50939429772698
butterscotch,88.02045826513911,32.477292202227936
cabbage,83.08,23.681818181818183
canned/cooked,85.43483709273183,26.746031746031747
caramel,87.93307215148548,35.73044397463002
cedar,89.26722777485534,47.135778811935396
cherry,87.97028471963198,35.54122221114545
chocolate,89.00653432588916,43.17542469853006
citrus,87.62794682422452,26.47767660910518
cloves,89.28205128205128,41.51327433628319
coffee,88.72780617073633,38.685343968095715
cork,89.62385321100918,40.93333333333333
cut green grass,86.58490566037736,18.887323943661972
diacetyl (butter),87.96908055329536,28.761130136986303
diesel,87.89682539682539,23.293650793650794
dried,88.75817211474316,42.58929917106255
dusty,88.87969653179191,36.59944532488114
ethyl acetate,88.4,59.6
eucalyptus,89.17752808988764,38.90561224489796
fig,88.22379826635145,33.353658536585364
floral,88.0811032222829,28.492475656535852
fresh,87.76190476190476,26.533014287695934
fruit aromas,87.35774615295615,26.940983175604625
garlic,87.77659574468085,23.978021978021978
geranium,87.75,34.285714285714285
grapefruit,87.66416978776529,23.975854584915897
green beans,86.2760736196319,27.647435897435898
green/black olive,88.47733478973238,34.85537422622397
hay/straw,86.74324324324324,23.87463556851312
hazelnut,89.31891891891892,41.36024844720497
honey,88.49376607955669,32.20811403508772
horsey,85.66666666666667,23.47887323943662
kerosene,88.79310344827586,35.55172413793103
leesy,88.77227722772277,30.57323232323232
lemon,87.74820670472845,25.291256061317064
licorice/anise,89.29550372685742,43.49910986775178
medicinal,85.27959697732997,24.989583333333332
melon,87.00979779028559,19.91257902768694
menthol,88.74130434782609,43.93624557260921
mint,87.48113723346091,32.36846615252785
molasses,88.96947935368043,52.23091603053435
moldy,82.0625,28.5
mousy,84.6,25.1
mushroom,88.86818181818182,39.50204081632653
natural gas/mercaptain,88.81818181818181,34.27272727272727
nutty,87.4092039800995,31.287817938420346
oak,88.25011871357651,37.896128087993965
orange blossom,88.4125932062966,28.39612676056338
oxidized,85.10902255639098,26.19341563786008
peach,87.573539440782,23.840132710739738
petroleum,86.01538461538462,21.523076923076925
phenolic,89.48913043478261,37.86206896551724
pineapple,87.6082565556343,26.453019521985038
plastic,85.05109489051095,23.977777777777778
prune,87.95676905574517,39.39974699557242
raisin,86.94238683127573,36.55177304964539
raspberry,87.59785685402345,31.64945623482209
resinous,87.11538461538461,28.3
rose,88.92159028161237,35.873577749683946
rubbery,85.58370535714286,20.48185941043084
sauerkraut,83.19047619047619,17.4
skunk,82.25,18.75
smoky,89.11911739355284,41.32322675486953
soy sauce,89.51178451178451,44.96819787985866
spicy,88.61033649975849,35.06806756121379
strawberry,87.46530837004406,29.868452739313668
strawberry jam,87.36032388663968,37.17298990602158
sulfur,85.3768115942029,22.650793650793652
sulfur dioxide,86.0,29.545454545454547
sweaty,85.3323076923077,30.316770186335404
tar,89.24846356453028,41.724532224532226
tea,88.71853546910755,35.718021873514026
tobacco,88.86197049024274,41.24839214322962
tree fruit,88.07230165197421,32.34691122756868
tropical fruit,87.95498547918683,26.00530705079606
vanilla,88.10548245614035,33.41683935835444
violet,89.3489010989011,38.15631067961165
walnut,88.10112359550561,42.45882352941177
wet wool/wet dog,85.96103896103897,24.094594594594593
yogurt,86.63157894736842,26.96
