ID,tier_1,tier_2,attribute,wine1,wine2,wine3,wine4,wine5
155,Caramel Aromas,Caramel,Butterscotch,Avignonesi Prugnolo Gentile Score: 100 Price: 210,Caymus Cabernet Sauvignon Score: 97 Price: 136,Au Bon Climat Chardonnay Score: 96 Price: 35,Williams Selyem Chardonnay Score: 96 Price: 65,Renieri White Blend Score: 96 Price: 70
185,Caramel Aromas,Caramel,Caramel,Shafer Cabernet Sauvignon Score: 100 Price: 215,R.L. Buller & Son Tokay Score: 98 Price: 86,Château Climens Bordeaux-style White Blend Score: 98 Price: 200,Rochioli Chardonnay Score: 97 Price: 60,Caymus Cabernet Sauvignon Score: 97 Price: 136
215,Caramel Aromas,Caramel,Chocolate,Giovanni Chiappini Red Blend Score: 100 Price: 195,Tenuta dell'Ornellaia Merlot Score: 100 Price: 460,Trefethen Cabernet Sauvignon Score: 99 Price: 100,Tenuta dell'Ornellaia Red Blend Score: 99 Price: 200,Harlan Estate Cabernet Blend Score: 99 Price: 245
275,Caramel Aromas,Caramel,Diacetyl (Butter),Flowers Pinot Noir Score: 98 Price: 70,Schramsberg Champagne Blend Score: 97 Price: 175,Iron Horse Sparkling Blend Score: 97 Price: 189,Au Bon Climat Chardonnay Score: 96 Price: 35,Williams Selyem Chardonnay Score: 96 Price: 50
436,Caramel Aromas,Caramel,Honey,Avignonesi Prugnolo Gentile Score: 100 Price: 210,Chambers Rosewood Vineyards Muscat Score: 100 Price: 300,R.L. Buller & Son Tokay Score: 98 Price: 86,Rochioli Chardonnay Score: 97 Price: 60,Livio Felluga Picolit Score: 97 Price: 90
536,Caramel Aromas,Caramel,Molasses,Avignonesi Prugnolo Gentile Score: 100 Price: 210,Chambers Rosewood Vineyards Muscat Score: 100 Price: 300,Avignonesi Prugnolo Gentile Score: 99 Price: 237,Campbells Tokay Score: 98 Price: 97,Campbells Muscat Score: 97 Price: 97
740,Caramel Aromas,Caramel,Soy Sauce,Stolo Syrah Score: 96 Price: 40,K Vintners Cabernet Sauvignon-Syrah Score: 96 Price: 60,K Vintners Syrah Score: 96 Price: 100,Alloro Pinot Noir Score: 95 Price: 45,Foxen Pinot Noir Score: 95 Price: 48
1,Chemical Smells,Pungent,Acetic Acid,Il Poggione Sangiovese Score: 89 Price: 62,Barnett Pinot Noir Score: 87 Price: 55,Schloss Vollrads Riesling Score: 87 Price: 170,Maximin Grünhäuser Riesling Score: 85 Price: 35,Lake Chelan Pinot Noir Score: 83 Price: 32
135,Chemical Smells,Sulfur,Burnt Match,Finca Allende Tempranillo Score: 96 Price: 184,Aia Vecchia Red Blend Score: 95 Price: 40,Tamarack Cellars Red Blend Score: 95 Price: 50,Maurodos Tinta de Toro Score: 95 Price: 67,OS Winery Riesling Score: 93 Price: 15
165,Chemical Smells,Sulfur,Cabbage,Yarra Yering Bordeaux-style Red Blend Score: 90 Price: 85,Huber Spätburgunder Score: 88 Price: 104,M. Cosentino Sauvignon Blanc Score: 87 Price: 25,Polkura Syrah Score: 86 Price: 23,Odfjell Merlot Score: 84 Price: 12
285,Chemical Smells,Petroleum,Diesel,Von Othegraven Riesling Score: 94 Price: 50,Zocker Riesling Score: 92 Price: 20,Smith-Madrone Riesling Score: 92 Price: 25,Högl Riesling Score: 92 Price: 38,Thomas Fogarty Chardonnay Score: 92 Price: 45
367,Chemical Smells,Sulfur,Garlic,Arnaldo Caprai Sagrantino Score: 95 Price: 100,Foxen 7200 Cabernet Sauvignon Score: 93 Price: 54,Rocca delle Macìe Sangiovese Score: 91 Price: 25,Alvear Pedro Ximénez Score: 90 Price: 11,Pazos del Rey Godello Score: 90 Price: 14
456,Chemical Smells,Petroleum,Kerosene,Bouchard Père & Fils Chardonnay Score: 95 Price: 140,Mönchhof Riesling Score: 91 Price: 20,Spy Valley Riesling Score: 91 Price: 20,Dopff & Irion Riesling Score: 91 Price: 32,Schloss Vollrads Riesling Score: 91 Price: 50
617,Chemical Smells,Petroleum,Petroleum,J. Bookwalter Riesling Score: 91 Price: 15,Dr. H. Thanisch (Erben Müller-Burggraef) Riesling Score: 91 Price: 28,Maximin Grünhäuser Riesling Score: 90 Price: 29,Wittmann Riesling Score: 89 Price: 54,Fox Run Riesling Score: 88 Price: 14
647,Chemical Smells,Petroleum,Plastic,Bodega Catena Zapata Malbec Score: 92 Price: 110,Soléna Pinot Noir Score: 91 Price: 50,Flying Trout Red Blend Score: 90 Price: 27,Riglos Cabernet Franc Score: 89 Price: 35,Ken Wright Pinot Noir Score: 89 Price: 50
707,Chemical Smells,Sulfur,Rubbery,Ferrer Bobet Carignan Score: 94 Price: 105,Matetic Syrah Score: 93 Price: 86,Numanthia Tinta de Toro Score: 92 Price: 30,Concha y Toro Cabernet Sauvignon Score: 92 Price: 37,Concha y Toro Cabernet Sauvignon Score: 92 Price: 50
780,Chemical Smells,Sulfur,Sulfur,Joh. Jos. Prüm Riesling Score: 94 Price: 60,F X Pichler Grüner Veltliner Score: 94 Price: 68,La Clarine Farm Mourvèdre Score: 93 Price: 22,Nickel & Nickel Cabernet Sauvignon Score: 92 Price: 75,García Figuero Tempranillo Score: 92 Price: 100
790,Chemical Smells,Pungent,Sulfur Dioxide,Domaine Weinbach Pinot Blanc Score: 90 Price: 20,Domaine Zind-Humbrecht Riesling Score: 90 Price: 26,Deakin Estate Muscat of Alexandria Score: 86 Price: 7,Mont Marçal Sparkling Blend Score: 86 Price: 15,Jacob's Creek Moscato Score: 84 Price: 8
807,Chemical Smells,Petroleum,Tar,Quilceda Creek Cabernet Sauvignon Score: 98 Price: 135,Altesino Sangiovese Score: 97 Price: 125,K Vintners Syrah Score: 96 Price: 100,Gianni Voerzio Nebbiolo Score: 96 Price: 125,Gaja Nebbiolo Score: 96 Price: 495
255,Earthy Aromas,Moldy,Cork,Cayuse Syrah Score: 97 Price: 70,J. Bookwalter Bordeaux-style Red Blend Score: 96 Price: 55,Quilceda Creek Cabernet Sauvignon Score: 96 Price: 115,Longoria Pinot Noir Score: 95 Price: 48,Williams Selyem Pinot Noir Score: 95 Price: 56
305,Earthy Aromas,Earthy,Dusty,Williams Selyem Pinot Noir Score: 100 Price: 100,Williams Selyem Pinot Noir Score: 99 Price: 94,Quilceda Creek Cabernet Sauvignon Score: 98 Price: 125,Torbreck Shiraz Score: 98 Price: 125,Louis Jadot Pinot Noir Score: 98 Price: 134
546,Earthy Aromas,Moldy,Moldy,J Vineyards & Winery Pinot Noir Score: 89 Price: 75,Robert Stemmler Chardonnay Score: 84 Price: 34,Bixler Vineyards White Blend Score: 82 Price: 15,Holly's Hill Mourvèdre Score: 81 Price: 20,Holly's Hill G-S-M Score: 81 Price: 30
